date,Popularity,isPartial
2023-07-24,36,False
2023-07-25,42,False
2023-07-26,28,False
2023-07-27,59,False
2023-07-28,58,False
2023-07-29,35,False
2023-07-30,52,False
2023-07-31,28,False
2023-08-01,45,False
2023-08-02,100,False
2023-08-03,45,False
2023-08-04,35,False
2023-08-05,42,False
2023-08-06,33,False
2023-08-07,48,False
2023-08-08,38,False
2023-08-09,27,False
2023-08-10,54,False
2023-08-11,74,False
2023-08-12,69,False
2023-08-13,0,False
2023-08-14,33,False
2023-08-15,47,False
2023-08-16,60,False
2023-08-17,30,False
2023-08-18,52,False
2023-08-19,47,False
2023-08-20,48,False
2023-08-21,74,False
2023-08-22,33,False
2023-08-23,68,False
2023-08-24,36,False
2023-08-25,65,False
2023-08-26,51,False
2023-08-27,63,False
2023-08-28,15,False
2023-08-29,57,False
2023-08-30,43,False
2023-08-31,39,False
2023-09-01,45,False
2023-09-02,60,False
2023-09-03,59,False
2023-09-04,28,False
2023-09-05,14,False
2023-09-06,26,False
2023-09-07,39,False
2023-09-08,46,False
2023-09-09,59,False
2023-09-10,40,False
2023-09-11,22,False
2023-09-12,53,False
2023-09-13,31,False
2023-09-14,41,False
2023-09-15,35,False
2023-09-16,58,False
2023-09-17,50,False
2023-09-18,23,False
2023-09-19,15,False
2023-09-20,24,False
2023-09-21,75,False
2023-09-22,43,False
2023-09-23,85,False
2023-09-24,30,False
2023-09-25,35,False
2023-09-26,41,False
2023-09-27,67,False
2023-09-28,93,False
2023-09-29,65,False
2023-09-30,68,False
2023-10-01,59,False
2023-10-02,28,False
2023-10-03,63,False
2023-10-04,33,False
2023-10-05,39,False
2023-10-06,46,False
2023-10-07,22,False
2023-10-08,49,False
2023-10-09,35,False
2023-10-10,65,False
2023-10-11,53,False
2023-10-12,47,False
2023-10-13,39,False
2023-10-14,46,False
2023-10-15,59,False
2023-10-16,24,False
2023-10-17,43,False
2023-10-18,35,False
2023-10-19,48,False
2023-10-20,30,False
